histogram_mean,histogram_std,histogram_skewness,histogram_kurtosis,uniform_pattern_mean,uniform_pattern_std,uniform_pattern_skewness,uniform_pattern_kurtosis,rotation_invariant_mean,rotation_invariant_std,rotation_invariant_skewness,rotation_invariant_kurtosis
0.00390625,0.020759491,9.041136,102.42558,749.2,1402.7444,1.7810793,1.7393005,0.1,0.11872076,0.68449545,-1.100849
0.00390625,0.016565666,4.5509987,20.780945,559.6,955.7635,1.5082552,0.91633105,0.1,0.13239457,1.2386585,0.40119147
0.00390625,0.01679373,4.9605656,27.745382,661.6,1083.2675,1.228746,-0.19689961,0.1,0.119889565,0.81612724,-0.7131698
0.00390625,0.020920487,8.855781,97.302124,776.8,1408.0085,1.6846126,1.4115378,0.1,0.11654732,0.62797916,-1.2222548
0.00390625,0.016301416,4.332333,18.206879,567.4,970.58746,1.527981,1.00961,0.1,0.12718885,1.0575666,-0.14135456
0.00390625,0.016285257,4.35343,18.539131,560.6,953.6701,1.4902811,0.8555597,0.1,0.12696433,1.0667346,-0.087212324
0.00390625,0.018926468,7.1678553,65.01817,699.6,1230.0662,1.4671686,0.46304587,0.1,0.11605337,0.65916646,-1.0110617
0.00390625,0.016339786,4.34765,18.220812,563.9,959.25226,1.5181103,1.0085651,0.1,0.1310134,1.1496912,0.081038
0.00390625,0.019723998,8.128569,84.617134,778.1,1353.6566,1.4789178,0.6016681,0.1,0.11565901,0.5809858,-1.318783
0.00390625,0.02439255,11.685536,158.85526,929.0,1801.0029,1.923627,2.3076885,0.1,0.122697785,0.83977485,-0.73407054
0.00390625,0.021148855,9.588611,114.84791,825.6,1500.8066,1.6730857,1.3360655,0.1,0.116161466,0.565066,-1.4084772
0.00390625,0.016374325,4.355755,18.265997,559.3,954.1596,1.525075,1.01908,0.1,0.13091585,1.1567457,0.1187067
0.00390625,0.018558793,6.959617,62.24745,747.9,1265.0787,1.3249921,-0.00038090712,0.1,0.117087394,0.65682405,-1.113713
0.00390625,0.023377668,10.922001,141.85449,873.2,1678.1224,1.9094491,2.2689042,0.1,0.12214529,0.7608587,-1.0255524
0.00390625,0.016661908,4.5875716,21.139492,554.0,972.65894,1.6415368,1.3997805,0.1,0.13316657,1.2627529,0.46208596
0.00390625,0.017508572,5.688724,39.083427,677.1,1138.902,1.2899119,-0.1417948,0.1,0.11974545,0.8216224,-0.64058805
0.00390625,0.017223544,5.3905587,34.01118,647.5,1099.2903,1.3233396,-0.042739186,0.1,0.12026635,0.8680596,-0.49100423
0.00390625,0.017109016,4.8917346,24.775354,529.7,916.08624,1.5663499,1.1199132,0.1,0.14133954,1.4818872,1.1478748
0.00390625,0.016910095,4.8045373,24.060009,601.0,1040.416,1.4696497,0.5901943,0.1,0.1294397,1.1520066,0.19463491
0.00390625,0.01901103,6.959492,60.27049,709.7,1252.2043,1.4310551,0.24894272,0.1,0.12523082,0.9365722,-0.3947518
0.00390625,0.0171334,4.900143,24.764616,513.4,904.6163,1.6884351,1.6208823,0.1,0.1447031,1.533127,1.2725754
0.00390625,0.016845621,4.6878304,22.162813,561.8,972.0875,1.5639544,1.102717,0.1,0.13690042,1.3169711,0.6003995
0.00390625,0.017963108,5.8281617,39.73622,636.9,1084.0488,1.3241264,-0.060676903,0.1,0.12731643,1.1077404,0.17489243
0.00390625,0.019855592,8.07035,83.15226,771.5,1359.6014,1.5019652,0.632114,0.1,0.12126519,0.7588509,-0.9530506
0.00390625,0.01616516,4.328411,18.44527,558.6,977.1802,1.5544807,0.9639778,0.1,0.12064159,0.8918665,-0.47442055
0.00390625,0.017547423,6.0345864,46.276867,679.7,1168.7228,1.3458468,-0.02601823,0.1,0.11191577,0.52213115,-1.2784047
0.00390625,0.020290816,9.057649,104.32602,764.8,1411.0411,1.6888163,1.3414422,0.1,0.1115296,0.46040374,-1.4922093
0.00390625,0.019189041,7.940252,81.98143,764.9,1350.5603,1.463602,0.41654918,0.1,0.11079098,0.42380682,-1.5622017
0.00390625,0.016487123,4.4376097,19.17578,550.7,1016.62366,1.8424435,2.115458,0.1,0.1343201,1.2437888,0.35709906
0.00390625,0.018207947,6.3701816,50.365295,684.8,1186.6998,1.3704336,0.04771738,0.1,0.11897467,0.79194677,-0.68371296
0.00390625,0.017942205,6.235497,49.07366,696.5,1208.812,1.3667715,0.016948866,0.1,0.11833156,0.7316482,-0.87306976
0.00390625,0.020859296,9.384155,110.516426,793.2,1463.6155,1.7035139,1.4152246,0.1,0.11419711,0.53721774,-1.4012814
0.00390625,0.016419834,4.5392704,21.053246,564.5,1005.21045,1.5652423,0.8977792,0.1,0.11957381,0.85504913,-0.55053735
0.00390625,0.016793787,5.0102906,28.360102,624.2,1046.8536,1.3027363,-0.04206466,0.1,0.11623749,0.7131477,-0.87919927
0.00390625,0.018033992,6.417534,52.406944,720.9,1235.5314,1.3387064,-0.03882356,0.1,0.115697876,0.6392646,-1.0995487
0.00390625,0.016655566,4.727709,23.475386,588.7,966.82513,1.2542074,-0.08792736,0.1,0.11950476,0.86931187,-0.4872458
0.00390625,0.016722245,4.845698,25.486004,616.9,1075.8678,1.4632417,0.499251,0.1,0.11752431,0.7619577,-0.78539515
0.00390625,0.018790733,7.361386,70.30663,732.9,1299.1119,1.4448748,0.29363188,0.1,0.11271702,0.51543874,-1.3541588
0.00390625,0.018082393,5.5108676,33.268997,568.7,1050.4984,1.9134161,2.4707642,0.1,0.15454775,1.5959765,1.2973375
0.00390625,0.02403382,10.942078,141.83519,967.3,1792.145,1.70995,1.4289758,0.1,0.13082078,0.81176746,-1.1234697
0.00390625,0.026449308,12.187844,168.9662,1052.3,1993.4952,1.8605958,2.084613,0.1,0.13520147,1.0087436,-0.51761866
0.00390625,0.016411254,4.413045,19.030678,554.5,991.17944,1.698392,1.5694743,0.1,0.12950423,1.1469607,0.13184738
0.00390625,0.01909315,7.2287855,66.16009,718.6,1267.9966,1.4545121,0.37257677,0.1,0.12099559,0.82302505,-0.67218995
0.00390625,0.020436145,8.723593,96.12323,782.4,1419.8683,1.6027229,0.9835434,0.1,0.11940521,0.69266236,-1.1201371
0.00390625,0.016373264,4.4161873,19.265293,566.9,1001.5691,1.6825566,1.5693558,0.1,0.13043888,1.1389067,0.05215645
0.00390625,0.017420447,5.39268,33.20373,642.5,1087.0922,1.3163434,-0.050614063,0.1,0.12397337,1.0019346,-0.15170956
0.00390625,0.01705877,5.189394,30.800991,647.3,1083.7428,1.2938076,-0.07478894,0.1,0.12033595,0.86266404,-0.5332856
0.00390625,0.016400676,4.439339,19.532778,562.6,1000.1728,1.7027657,1.6302905,0.1,0.1313935,1.1673809,0.13892365
