mean,std,skewness,kurtosis,energi,fase,label
1246.2977,559.36865,-1.13931,-0.10810337,30575022000.0,0.0,0
1242.8599,593.52997,-1.041842,-0.47274044,31080096000.0,0.0,0
1608.0437,550.4707,-1.0196002,0.06203451,47330470000.0,0.0,0
1242.5209,600.3205,-0.9521761,-0.70228827,31199111000.0,0.0,0
1383.3162,564.93823,-1.1917801,-0.13863789,36580864000.0,0.0,0
1490.1052,597.0721,-0.67438406,-0.8850338,42220070000.0,0.0,0
1397.1158,691.8017,-0.80700475,-0.79793066,39821677000.0,0.0,0
1264.6583,629.0646,-0.8020364,-0.6763597,32687438000.0,0.0,0
1598.9081,552.4608,-1.0134115,0.0056904308,46886420000.0,0.0,0
1643.3607,719.2447,-1.2138628,0.15525982,52722848000.0,0.011888351,0
1442.818,685.8782,-1.1270893,-0.29302245,41814470000.0,0.0,0
1445.2982,560.5862,-0.49706012,-0.7644707,39373110000.0,0.0,0
1125.8892,581.8458,-0.43693608,-0.84655243,26315506000.0,0.0,0
899.35736,501.41617,-0.3174118,-0.98623514,17371330000.0,0.0,0
1622.3906,476.25882,-1.0525893,0.41517946,46841426000.0,0.0,0
987.85675,417.3231,-0.6333735,0.28044808,18841920000.0,0.01035437,0
906.07556,427.39053,-0.22433873,0.08248802,16443565000.0,0.010546118,0
1556.9161,544.41547,-0.7503162,-0.2069111,44570640000.0,0.0,0
1130.0818,549.2318,-0.41715556,-0.6353538,25866082000.0,0.001917476,0
1127.6735,573.0694,-0.29345703,-0.7985861,26215318000.0,0.0005752428,0
1554.3035,540.56964,-0.7193741,-0.25025153,44369097000.0,0.0,0
1175.8168,657.10565,-0.5069487,-0.81859875,29726030000.0,0.01438107,0
1367.5991,765.9934,-0.68885297,-0.81522244,40256690000.0,0.015339808,0
1638.5907,717.07434,-0.95821947,-0.5678537,52415280000.0,0.0,0
1499.9688,547.27386,-0.6657833,-0.42551953,41769615000.0,0.0,0
846.80597,420.38873,-0.3428114,-0.4736763,14644134000.0,0.011313109,0
830.9713,504.62933,-0.07904593,-0.5530819,15485568000.0,0.017640779,0
1502.1127,554.5046,-0.428449,-0.6157785,42005590000.0,0.0,0
1463.1692,783.6741,-0.77005523,-0.7864128,45138070000.0,0.017065536,0
1030.2661,618.61505,-0.344917,-0.9878635,23660670000.0,0.01994175,0
1568.6478,507.41962,-0.7535607,-0.5013828,44533854000.0,0.0,0
1530.6846,655.73914,-0.9194761,-0.50780344,45432656000.0,0.0,0
1407.2385,725.0183,-0.9200656,-0.57928056,41057840000.0,0.01514806,0
1568.5184,484.16486,-0.6382527,-0.0894569,44149404000.0,0.0,0
1602.4725,723.97455,-1.1177915,0.062738076,50660270000.0,0.016106797,0
1671.1638,398.04865,-1.5802437,1.7394832,48352973000.0,0.0,0
1563.3071,594.9644,-1.5184925,0.7738164,45840990000.0,0.0,0
1426.7592,576.69293,-1.7066231,1.3859226,38800860000.0,0.013997574,0
1409.3142,493.7867,-0.96520275,0.039779082,36536190000.0,0.0,0
1036.4974,504.16867,-0.9152726,-0.2801432,21766357000.0,0.018791264,0
1366.0642,511.6231,-0.79055184,-0.40282738,34863340000.0,0.0,0
1075.6376,486.56885,-0.5680003,-0.89158183,22835124000.0,0.0,0
1457.4963,600.7364,-0.67019993,-0.60755193,40717185000.0,0.0,0
903.9578,501.53793,-0.3836623,-0.8024888,17509255000.0,0.016682042,0
1567.5984,571.1844,-0.75048167,-0.37316304,45606770000.0,0.0,0
1114.42,580.2196,-0.5476331,-0.5488558,25863567000.0,0.016682042,0
1483.4939,526.69745,-0.5131393,0.052924875,40602247000.0,0.0,0
1035.4321,514.9118,0.07654209,-0.21355532,21909565000.0,0.0040266993,0
1474.779,673.957,-0.39917803,-0.82248515,43076665000.0,0.0,0
1347.2715,793.76495,-0.45273486,-1.0474364,40062210000.0,0.017065536,0
1682.1914,484.74725,-1.0792001,0.35691872,50212827000.0,0.0,0
1211.5938,620.1117,-0.9745107,-0.4916712,30351327000.0,0.01840777,0
1646.1162,563.51636,-1.0955361,-0.16816968,49598450000.0,0.0,0
1279.0118,392.05106,-1.0090908,-0.06881571,29320403000.0,0.0,0
1513.0013,546.3417,-1.1572005,0.34245566,42396262000.0,0.0,0
1724.9186,745.12933,-1.3892308,0.46608886,57844724000.0,0.009970875,0
1576.8478,492.50266,-1.348075,1.2116792,44712063000.0,0.0,0
1487.5774,624.31964,-1.4325513,0.78516185,42642006000.0,0.011313109,0
1381.6587,709.58295,-0.9364956,-0.43366036,39526216000.0,0.0,0
1641.0192,573.47034,-0.9527234,-0.41645333,49509370000.0,0.0,0
1168.1364,595.6834,-0.92909175,-0.5442816,28170342000.0,0.016298546,0
1424.6251,672.7846,-0.36323288,-1.065188,40668295000.0,0.0,0
1199.4906,806.07526,-0.115379535,-1.3491213,34218560000.0,0.017257284,0
1228.8984,627.6553,-0.52303874,-1.3107617,31197469000.0,0.0,0
910.90314,588.29706,-0.37601393,-1.4072224,19264928000.0,0.014572818,0
1224.6006,628.57605,-0.5080184,-1.3326259,31043658000.0,0.0,0
1316.3503,906.1975,-0.49141598,-1.5335723,41844277000.0,0.02952913,0
1411.4232,638.11084,-0.69991785,-0.7981723,39310148000.0,0.0,0
1606.8547,810.73975,-1.0138022,-0.65852195,53072384000.0,0.0,0
1482.0813,832.06445,-0.9015191,-0.950493,47331676000.0,0.0,0
1387.2921,481.80725,-1.0923461,-0.08132463,35335664000.0,0.0,0
1340.3169,627.77374,-1.0544143,-0.19716011,35889960000.0,0.015915051,0
1607.5426,546.7195,-0.9824549,-0.13869637,47236633000.0,0.0,0
1542.755,762.2231,-1.0400411,-0.3895015,48514290000.0,0.016490294,0
1564.3064,801.63544,-1.0166155,-0.50157225,50621220000.0,0.01744903,0
1591.7767,555.75525,-0.9296498,-0.2879292,46573440000.0,0.0,0
1500.3651,650.6262,-0.8701729,-0.5346124,43817533000.0,0.0,0
1379.8267,564.8075,-0.71065265,-0.98685503,36420470000.0,0.0,0
992.59106,534.3558,-0.62602335,-1.0156795,20820345000.0,0.008245147,0
774.9499,461.58008,-0.48594514,-1.1800691,13330079000.0,0.017065536,0
1385.5616,563.2515,-0.7312645,-0.9503801,36651553000.0,0.0,0
1442.1365,810.5763,-0.71145207,-1.0781151,44839590000.0,0.015531556,0
1732.1481,545.3312,-1.4495728,0.7833082,54029894000.0,0.0,0
1796.5642,768.8964,-1.3145871,0.0074175475,62567950000.0,0.0,0
1553.3457,716.48395,-0.824245,-0.7959695,47943390000.0,0.0,0
1486.8826,847.4945,-0.7925185,-0.98748153,47989830000.0,0.013997574,0
1323.8407,508.4131,-0.5708379,-0.9361669,32948849000.0,0.0,0
1349.0197,665.7366,-0.58200234,-0.89217293,37077963000.0,0.011888351,0
1226.0853,516.3251,-0.8343869,-0.7413576,28997660000.0,0.0,0
989.6152,530.67145,-0.88024074,-0.80852914,20659410000.0,0.01840777,0
1224.6959,503.60904,-0.5678395,-1.1543124,28729379000.0,0.0,0
